PDF-Datei,Seite,Suchbegriff,Ähnlichkeit,Suchwort im Text
PDF/Cano2.pdf,2,est,100,"est,","sana , et eos, qui contra dicunt, arguere. Quod est, ut apostolus Paulus ad Titum ait, ch ristiani doc"
PDF/Cano2.pdf,3,est,100,"est,","ant, quam vim unusquisque locorum contineat, hoc est, unde argumenta certa, unde vero probabilia solum"
PDF/Cano2.pdf,4,est,100,"est,","ae doctorem amplecti eum, qui secundum doctrinam est, fidelem se rmonem, ut potens sit exhortari in doc"
PDF/Cano2.pdf,5,est,100,est,"auctoritas sanctorum veterum. Septimus est auctoritas theologorum scholasticorum, quibus ad"
PDF/Cano2.pdf,6,deus,100,Deus.,"ea. Quarum scripturarum auct or est non homo, sed Deus. Dominus enim narrabit in scripturis populorum et"
PDF/Cano2.pdf,6,est,100,modesto,t rerum mihi scientiam arrogem: quid enim a viro modesto alienius esse potest? sed ut nemo politioris lite
PDF/Cano2.pdf,7,deus,100,DEUS,UBI ARGUMENTA REFERUNTUR SUADERE VOLENTIUM QUOD DEUS FALLERE ALIQUANDO POTEST Prima controversia. Ut
PDF/Cano2.pdf,7,est,100,testimon,"quendum sit: tamen an apostoli, vel prophetae in testimon iis, quae videlicet ex ipsis afferuntur, de Spir"
PDF/Cano2.pdf,8,deus,100,Deus,"ic sunt, et Dominus locutus est contra te malum. Deus itaque per cacodaemonem administrum, decipit. Id"
PDF/Cano2.pdf,8,est,100,"est,","Lumen ergo prophetiae causa quandoque prophetae est, ut decipiatur. Non en im tunc temporis mortuus es"
PDF/Cano2.pdf,9,deus,100,Deus,sit prima conclusio. Haereticum est asserere quod Deus de potentia ordinaria mentiri possit: Est enim D
PDF/Cano2.pdf,9,est,100,est,"piritu m, et mendacium potius loquerer. Non ergo est intrinsecus malum, quod pr opheta Deo instigante"
PDF/Cano2.pdf,10,deus,100,Deus,"tandem: Non est Deus quasi homo, ut mentiatur. Atque haec quidem concl"
PDF/Cano2.pdf,10,sacrament,100,sacr,"oquitur, ipse se loqui testatur, ut multis locis Sacrarum L iterarum constat. Ita si Dei administri me"
PDF/Cano2.pdf,10,est,100,est,"tandem: Non est Deus quasi homo, ut mentiatur. Atque haec quidem"
PDF/Cano2.pdf,11,deus,100,Deus,"ante citatum est, idipsum ostendit. Est, inquit, Deus verax, omnis autem homo mendax. Quo loco Paulus n"
PDF/Cano2.pdf,11,est,100,"testimonium,","Praeterea et illud Apostoli testimonium, quod ante citatum est, idipsum ostendit. Est, in"
PDF/Cano2.pdf,12,deus,100,Deus.,"arbitrans quia et a mortuis suscitare potens est Deus. Sunt alii contra, quibus ego vehementer assenti"
PDF/Cano2.pdf,12,est,100,est,"onsio ad primum. Ad primum igitur argumentum non est theologorum una et simplex responsio, Sunt enim"
PDF/Cano2.pdf,13,est,100,est:,Sed haec longior pugna est: nec huius temporis patitur angustias. Equidem abu
PDF/Cano2.pdf,14,deus,100,Deus,"tationem; et illud forsitan: Tu rex regum es, et Deus coeli regnum et imperium dedit tibi, etc. et illu"
PDF/Cano2.pdf,14,est,100,est:,"ille se excusavit, in hunc modum Dominus locutus est: Nunc redde viro suo uxorem, et orabit pro te, et"
PDF/Cano2.pdf,15,deus,100,Deus,et poena actioque prava rectae iuncta passioni. Deus igitur illi c non erat otiosus: sed eius erat omn
PDF/Cano2.pdf,15,est,100,est,"unt, at tum avare, tum etiam inique. Nihil ergo est absurdi, si opus idem, quatenus poena est, ad Deu"
PDF/Cano2.pdf,16,deus,100,Deus,cum sit Deus quovis homine sapiente praestantior. Illa item ei
PDF/Cano2.pdf,16,est,100,praestantior.,"cum sit Deus quovis homine sapiente praestantior. Illa item eiusdem Augustini causa non est levis,"
PDF/Cano2.pdf,17,deus,100,Deus;,protinus: Quem vult indurat. Volens ergo indurat Deus; et posterius: Quod si Deus volens ostendere iram
PDF/Cano2.pdf,17,est,100,"est,",". Et cum causa moralis, de qua in praesenti sermo est, non agat nisi per voluntatem movens. Deo certe v"
PDF/Cano2.pdf,18,deus,100,Deus,"m, et ta men caloris non est dive rsa natura, sic Deus eodem omnino lumine male affectum excaecare dici"
PDF/Cano2.pdf,18,sacrament,100,men,"it; liquatur enim cera et induratur lutum, et ta men caloris non est dive rsa natura, sic Deus eodem"
PDF/Cano2.pdf,18,est,100,"est,","rre , caeteraque similia, id non ita accipiendum est, quasi homo arbitrii facultate pr ivatus nec vider"
PDF/Cano2.pdf,19,deus,100,Deus,"pulsu eius fit, causa moralis dicitur. Est autem Deus causa naturalis quidem omnium motionum; nam gene"
PDF/Cano2.pdf,19,sacrament,100,Sacramentis,eretur. Sed haec causae partitio in relectione de Sacramentis in genere uberius explicata est. Nunc ad octavi
PDF/Cano2.pdf,19,est,100,"est,","tum esse, vel illu d satis abunde magno argumento est, quod Ecclesiast. 15 scribitur: Nemini mandavit i"
PDF/Cano2.pdf,20,deus,100,"Deus,",", Elias ait: Qui exaudierit per ignem, ipse sit Deus, hoc est, habeatur. In quam sententiam D. quoque"
PDF/Cano2.pdf,20,est,100,estis,sint; alioqui per salutem Pharaonis exploratores estis vos. At D. Augustinus in Quaest. super Genes. t
PDF/Cano2.pdf,21,deus,100,Deus,"es tenebrae sunt, ita si viro sapienti negaretur Deus esse, licet primum sit Theologiae principium, dar"
PDF/Cano2.pdf,21,est,100,testimonio,", et primum fidei ac theologiae f undamentum, non testimonio solum, sed etiam ratione constituimus. Quibus"
PDF/Cano2.pdf,22,sacrament,100,SACRAM,"ARGUMENTA EORU M QUI SUADERE CONANTUR SCRIPTURAM SACRAM NON EG ERE ECCLESIAE APPROBATIONE Et quidem, quo"
PDF/Cano2.pdf,22,est,100,estate,"IUNT In dubium itaque et olim et nostra hac temp estate vocatum est, an septem illi libri Veteris Testam"
PDF/Cano2.pdf,23,deus,100,Deus,"num testimonia recurrere debemus, sed ad id quod Deus intra nos testimonium praebet. Quintum argumentum"
PDF/Cano2.pdf,23,est,100,"est,","Wiclefistas invaluit, ut Thomas Waldensis auctor est, lib. 2. Doctr. fid. Antiq. c. 19. ne quisquam e"
PDF/Cano2.pdf,24,deus,100,Deus,"edimus enim Christum fuisse filium David, quoniam Deus prophetis et apostolis revelavit. Quod si Deum r"
PDF/Cano2.pdf,24,sacrament,100,Sacra,"pendeat. Tertia ratio. Praeterea si Scripturae Sacrae veritas ab hominum testimonio penderet, ex eoqu"
PDF/Cano2.pdf,24,est,100,est,lesia ipsa extitisset. Vanissimum ergo commentum est (1 cap. Institut. Calvinus ait) Scripturae iudi
PDF/Cano2.pdf,25,est,100,est,"prioribus saeculis nunquam ex titerint, ut auctor est Eusebius lib. 4, Eccl. hist., cap. 8. At huiusm"
PDF/Cano2.pdf,26,est,100,est,"iqua persequamur. Tertia propositio. Ab Ecclesia est determi nandum quisnam liber sit canonicus, et il"
PDF/Cano2.pdf,27,sacrament,100,Sacramento,"in libro De captivit. Babylonica, ubi de Ordinis Sacramento agit, confitetur quidem Ecclesiam habere potesta"
PDF/Cano2.pdf,27,est,100,Est,et qui cum eo erant fuisset sententia roboratum. Est autem haec Epist. etiam in tomo operum Augustini
PDF/Cano2.pdf,28,deus,100,Deus,i fidei controversias decidere possit; siquidem Deus in necessari is Ecclesiae suae non defuit. At li
PDF/Cano2.pdf,28,sacrament,100,sacra,"dubitare catholic o licuit an Apocalypsis Joannis sacra et canónica esset. Nunc autem, ut suo loco osten"
PDF/Cano2.pdf,28,est,100,est,"temporisEcclesiae tribuunt, qu ae videlicet eadem est cum antiqua, habetqueeundem veritatis spiritum a"
PDF/Cano2.pdf,29,est,100,investigare,controversias decernendi auctoritatem; aliud vero investigare quanam via et ratione ad rectam et firmam harum
PDF/Cano2.pdf,30,est,100,est,"cum tota ipsa Ecclesia, hoc est fideles om nes, convenire ad iudicandum de propos"
PDF/Cano2.pdf,31,deus,100,Deus,"s est etiam externa doctrina, eorum máxime, quos Deus constituit in Ecclesia pastores et doctores. I"
PDF/Cano2.pdf,31,sacrament,100,Sacramento,"implici mulierculae proponatur, an acciden tia in Sacramento altaris sine subiecto sint, quamvis sancta sit e"
PDF/Cano2.pdf,31,est,100,testimonium,"argumentum si c respondeo: Si Christus ab homine testimonium non accipit, ubinam illud est: Fuit homo missus a"
PDF/Cano2.pdf,32,deus,100,"Deus,","ariter loquebatur; quem quoniam Pater signaverat Deus, ducem ac praeceptorem mundo dederat omnique testi"
PDF/Cano2.pdf,32,est,100,est;,"m discernat ab errore contrari o, qui ex Deo non est; quae vero Ecclesiae sunt communia nec ad iudici"
PDF/Cano2.pdf,33,sacrament,100,ent,"nc disserimus, referantur. De tertio igitur argumento tantum. Responsio ad quartum. Quarto priusquam"
PDF/Cano2.pdf,33,est,100,testimonia,"Luthero illa Domini testimonia in hac causa , de qua nunc disserimus, referantur"
PDF/Cano2.pdf,34,deus,100,Deus,it mihi aurem ut audiam quasi magistrum: Dominus Deus aperuit mihi aurem. Dies me deficiet si omnia vel
PDF/Cano2.pdf,34,est,100,est,"necessaria est insuper causa interior, hoc est divinum quoddam"
PDF/Cano2.pdf,35,deus,100,Deus,"et apostoli assentirentur articulis fidei, quia Deus revelav it, eandem quoque nos credendi rationem"
PDF/Cano2.pdf,35,est,100,"est,","m fidem nostram non resolvimus. Eadem enim fides est, id emque proinde habet obiectum rationemque form"
PDF/Cano2.pdf,36,deus,100,Deus,"atio formalis assentiendi lumen fidei est, quod Deus infundit credenti. Iam si haec quae diximus Sacr"
PDF/Cano2.pdf,36,est,100,potest,"us rebus expositis, facile, ut opinor, in telligi potest vera esse quae paulo ante sunt dicta, hoc est, o"
PDF/Cano2.pdf,37,deus,100,"Deus,","s, nobis per hominem proponantur. Providit autem Deus, ut Ecclesia esset quae certo ac firmo iudicio ea"
PDF/Cano2.pdf,37,est,100,Testamentum,"a perm utetur, ita fit, ut contra negantes Novum Testamentum aptissime argumentemus ex Veteri , atque e divers"
PDF/Cano2.pdf,38,est,100,est.,auctoritatem fides Librorum Divinorura referenda est. Responsio ad quintum. Nec post haec in postremis
PDF/Cano2.pdf,39,est,100,Est,"avit, quaedam pr ivatim uni, alia alii revelavit. Est ergo distributio accommoda, ut ibi: Ille docebit"
PDF/Cano2.pdf,40,est,100,est.,"gitur canonicus sit, iampridem explosa sententia est. Fateamur ergo, ne in Ecclesiae doctrina graviter"
PDF/Cano2.pdf,41,sacrament,100,sacra,", Laodicense, Florentinum, Tridentinum eam inter sacras reposuerunt. His adde sanctos antiquos, quos n"
PDF/Cano2.pdf,41,est,100,testimonia,praeclara et Summorum Pon tificum et Conciliorum testimonia sanctos auctores in huius sententiae confirmatio
PDF/Cano2.pdf,42,sacrament,100,Sacram,"nis sive Evangelium, sive Apocalyps im Scripturam Sacram esse negant. Et Clemens Alexandrinus lib. 2 Pae"
PDF/Cano2.pdf,42,est,100,est.,"ibrum Apocalypsis a canonicis excipere haereticum est. Patet in primis, quoniam D. Hieronymo auctore in"
PDF/Cano2.pdf,43,est,100,"est,","avissimum et utilissimum fore cupio, expectandum est, dum de remo inflexo et de collo columbae respond"
PDF/Cano2.pdf,44,est,100,est;,"tunc Ecclesia, quae in gentes dein ceps propagata est; quoc irca eodem Divino Spiritu continebatur eund"
PDF/Cano2.pdf,45,sacrament,100,sacra,"uod sancti ex huiusmodi libris testimonia tamquam sacra referant, satis ostenditur eos esse divinos. Sep"
PDF/Cano2.pdf,45,est,100,"est,","tribu Juda non fuisse , sed de tribu Levi notius est, quam ut a me sit in praesentia confirmandum. Phi"
PDF/Cano2.pdf,46,est,100,est,"cum, quamquam cum lacrimis inquisiverit eam. Quod est contra omnia Evangelia et epistolas Pauli . Haec"
PDF/Cano2.pdf,47,est,100,est,de non sint ab eodem auctore conscrip tae. Certum est autem auctorem primae fuisse Petrum apostolum. N
PDF/Cano2.pdf,48,deus,100,Deus,"verba: Prophetans autem de Christo Jeremías, Hic Deus meus, inquit, et non aestimabitur alter ad eum: P"
PDF/Cano2.pdf,48,est,100,est,"um aquae in nostra scripta deriventur, c onsilium est amicorum quidem, sed nisi me fallit amor, timent"
PDF/Cano2.pdf,49,est,100,est,oque argumentum fac ile diluitur. Nec enim verum est in libris canonicis decernendis Ec clesiae regula
PDF/Cano2.pdf,50,est,100,testimonium,"; sin autem, ne confiteantur hos esse canonicos, testimonium huius capituli contemnunt, iam profecto non est"
PDF/Cano2.pdf,51,est,100,"est,","Gelasii vel illud abunde magnum argumentum est, quod idem ipse probat lectionem Scripturarum qua"
PDF/Cano2.pdf,52,est,100,modestia,"i assistat, qui in quibusdam tamen humano more ex modestia loquitur. Sic enim Paulus ait: Etsi imperitus se"
PDF/Cano2.pdf,53,deus,100,Deus,"turis divina promissio debilitanda est. Est enim Deus verax, omnis autem homo mendax. Postrema demurn"
PDF/Cano2.pdf,53,est,100,est,"qui idem est cum priori. Nam, quo anno Juda s mortuus est, scr"
PDF/Cano2.pdf,54,est,100,"est,","a adversus Ninivitas po st poenitentiam translata est, ita quoque haec divina promissio filiis Judae pe"
PDF/Cano2.pdf,55,est,100,interest,"rum esse huius aut illius scriptor is non admodum interest catholicae fidei, dummodo Spiritus Sanctus aucto"
PDF/Cano2.pdf,56,est,100,vestigiis,"Erasmi novitates ingeniumque secutus, dum alienis vestigiis voluit insistere, propriam gloriam maculavit. Ac"
PDF/Cano2.pdf,57,est,100,testatur,"Omitto quod Petrus, nisi me valde opinio fallit, testatur Paulum Hebraeis epistolam scripsisse. Nam primam"
PDF/Cano2.pdf,58,deus,100,"Deus,","a verba manere. Si enim interpres transtulisset: Deus, Deus meus, ut quid dereliquisti me? non fuisset"
PDF/Cano2.pdf,58,sacrament,100,Sacr,"suo. Quod si obiicias illam particulam non esse Sacr am Scripturam, si hoc verum est, ut quae ab offi"
PDF/Cano2.pdf,58,est,100,est,"legitur Rachel vocasse filii sui nomen Benoni, id est filium doloris mei; nomen vero ei a patre inditu"
PDF/Cano2.pdf,59,deus,100,Deus,"Hebraei intelligebant ea, quae David in Salo mone Deus promiserat, in Christo esse complenda. Intellige"
PDF/Cano2.pdf,59,sacrament,100,Sacramenta,"unt, sed salutis confirmationem: accepit enim et Sacramenta ab illis, et doctrinae confirmationem, tum quia"
PDF/Cano2.pdf,59,est,100,est.,"ema huius rationis parte nobis opponitur, nulla est. Audivi equidem ab Hebraeo, cui Hebraei Carpentora"
PDF/Cano2.pdf,60,est,100,est,"dicitur: Hic est calix novi et aeterni Testamenti, id est novae ac"
PDF/Cano2.pdf,61,est,100,"est,","clesiae universali s usu confirmante, temerarium est, ne dicam erroneum, huius epistolae certitudinem v"
PDF/Cano2.pdf,62,est,100,"est,","it. Caietani igitur assertio hoc loco periculosa est, si vis comparativi teneatur: Minoris, inquit, au"
PDF/Cano2.pdf,63,est,100,"testimonio,","troversiae pars suadetur ante omnia D. Hieronymi testimonio, qui in libro adversus Helvidium huius assertionis"
PDF/Cano2.pdf,64,sacrament,100,sacr,"a s non habet, Hieronymus fabulam vocat, non eam Sacris Libris additurus, nisi apud im peritos, ut ipse"
PDF/Cano2.pdf,64,est,100,"est,","issime prae se ferant, Jud. 21. Subdititium ergo est, adulterinum et falsum, quod interpretis solum au"
PDF/Cano2.pdf,65,sacrament,100,Sacr,"discedere, damnamus iuniorum omnium in vertendis Sacris Literis diligentiam linguarumque peritiam, tam"
PDF/Cano2.pdf,65,est,100,"est,","el hebraica vel graeca, hic scilicet contemnendus est, ille vero omni ratione tenendus, quem latina vet"
PDF/Cano2.pdf,66,sacrament,100,Sacra,ium Tridentinum sessione 4 in haec verba definit: Sacra Synodus considerans non parum utilitatis acceder
PDF/Cano2.pdf,66,est,100,EST,E EDITIONIS AUCTORITAS DEMONSTRATUR ET QUOD NO N EST NUNC AD HEBRAEOS GRAECOSVE RECURRENDUM Prima co
PDF/Cano2.pdf,67,sacrament,100,sacramenta,"inari necesse erat, imo adeo eiusdem instrumenti sacramenta omnia caecis oculis attrectare. Ea si christian"
PDF/Cano2.pdf,67,est,100,"est,","onfecerint, necne. Quod si nihil certi confectum est, o miseros homines qui te rcentum annos, atque eo"
PDF/Cano2.pdf,68,sacrament,100,Sacram,"ebraicasque litteras i gnorantes, cum Scripturam Sacram in suo idiomate latino legerint, se mper ancipiti"
PDF/Cano2.pdf,68,est,100,"est,","am veritas a Judaeis repulsa a gentibus suscepta est, digna Ecclesia gentium est habita, quae proprio s"
PDF/Cano2.pdf,69,est,100,"testatur,","violarunt, ut Tertull. lib. 5 Adversus Marcionem testatur, et Euseb. lib. 5 Eccl. hist . cap. ult., et Iren"
PDF/Cano2.pdf,70,est,100,est,"pistola ad Novationum haereticum, quod lapsis non est spes veniae deneganda; sic Ambrosius De Noe et A"
PDF/Cano2.pdf,71,sacrament,100,"sacramenta,","er gunt, videant illi ne religionis caeremonias, sacramenta, sacerdotium, versionum praetextu simul invertant."
PDF/Cano2.pdf,71,est,100,quaestionibus,hebraeorum nova ista exemplaria in theologi ae quaestionibus nihil virium habere ad faciendam fidem. Praeter
PDF/Cano2.pdf,72,sacrament,100,sacra,"ii decreta recipiamus. Providentissime igitur a sacra Synodo Tridentina constitutum est, ut ex multis"
PDF/Cano2.pdf,72,est,100,est.,"quae nimirum constantiae atque unita tis inimica est. Quas Ecclesia virtutes habere nequit, si Scriptu"
PDF/Cano2.pdf,73,est,100,est,"aria tum hebrai ca tum graeca olim Hieron. nactus est multo emendatiora quam ea, quibus iuniores inter"
PDF/Cano2.pdf,74,est,100,manifeste,"isse Hienonymo, ut in eam sententiam induceretur, manifeste patet ex prooemio Super quatuor Evangelia ad Da"
PDF/Cano2.pdf,75,est,100,est.,"rasmus gravissime urgere existimavit, levissimum est. Multa siquidem, quae Hieronym. primum et in Novi"
PDF/Cano2.pdf,76,est,100,est,Argumentum etiam alterum eiusdem Osiandri est in Harmon. Evangel. ubi tradit: «Hebraeos in dic
PDF/Cano2.pdf,77,est,100,"potest,","ed fulgur sonat. Sed ne de fulgore quidem accipi potest, etiamsi graeca vox utrumque sonaret. Sol namque"
PDF/Cano2.pdf,78,est,100,est,"in leonem transtuler unt. Nec vero ita id factum est ab illis, quod voces essent multiplices et ambig"
PDF/Cano2.pdf,79,est,100,"est,","deberem aut ol eum aut operam sumere. Quale illud est, quod Faber Stapulensis ait Eccles iam interpreti"
PDF/Cano2.pdf,80,sacrament,100,Sacram,sine Spiritus Sancti peculiari dono Scri pturam Sacram existimant se posse vel intelligere vel interpr
PDF/Cano2.pdf,80,est,100,"est,","equitur, hoc habeto responsum. Magnus error eorum est, qui sine Spiritus Sancti peculiari dono Scri ptu"
PDF/Cano2.pdf,81,est,100,est,"illud: « Notum vobis facio Evangelium, quia non est secundum hominem, etc.»; Marcion et Basilides, a"
PDF/Cano2.pdf,82,deus,100,Deus,"i dicuntur. Volens itaque Paulus ostendere quod Deus universa sit machinatus ex nihilo, non conditione"
PDF/Cano2.pdf,82,est,100,quaestionibus,let. Huiusmodi dictiones multas cum in Hebraicis quaestionibus tum in Commentariis adnotavit Hieronymus. Nos una
PDF/Cano2.pdf,83,est,100,festi,"Ambiguitas etiam in aliena lingua festi vum quandoque vocis usum lusumque praebet, qui i"
PDF/Cano2.pdf,84,est,100,est.,"ficie pol liceri, neque hoc sonare quod scriptum est. Ex quo, ut Hieronym. in Ecclesiast . cap. ult. a"
PDF/Cano2.pdf,85,deus,100,Deus,"d peccatorem. Sensus autem mirifice convenit, ut Deus scilicet intelligatur utrumque quidem interroga"
PDF/Cano2.pdf,85,est,100,est,"ma mea ad Deum fontem, pro fortem; et interfecta est terra a sanguinibus, pro infecta. Nam et Psal. 10"
PDF/Cano2.pdf,86,est,100,est,"at quidam regulus; pro quo graece basilikój , hoc est de aula regia, seu Palatinus, ut Hieron. in Isai"
PDF/Cano2.pdf,87,sacrament,100,Sacra,"ono canit. Quid Theopompo acciderit in Scriptura Sacra rhetorum more, lude nti, memoriae proditum est."
PDF/Cano2.pdf,87,est,100,modestiaeque,"audiemus, si intra praescriptos modo religi onis modestiaeque terminos se contineant; nec aut veras linguarum"
PDF/Cano2.pdf,88,deus,100,Deus,"matur autem idem hoc argumento, maxime quod sicut Deus non deficit in necessariis, ita non redundat in"
PDF/Cano2.pdf,88,est,100,testatus,"onymus in prooemio super epistolam ad Philemonem testatus est, qui crederent, non semper au ctores sacros S"
PDF/Cano2.pdf,89,deus,100,"Deus,","oportet. Nam per Moysen multa quidem locutus est Deus, aliquanta tamen et Moyses propria auctoritate ma"
PDF/Cano2.pdf,89,est,100,"est,","per Números, Sermo, ait, qui apud Jonam scri ptus est, et non est factus, a Jona potius quam a Deo prol"
PDF/Cano2.pdf,90,est,100,est,"iam generationem intercessisse. Superflua igitur est in genealog ía Christi una generatio, atque adeo"
PDF/Cano2.pdf,91,est,100,est;,"sunt. Non eadem, aiunt, causa est; quoniam, si Ecclesiam, cuius erudiendae gratia S"
PDF/Cano2.pdf,92,est,100,est,"At cum lex Moysis, quod est ministerium mortis , tam exacta diligentia script"
PDF/Cano2.pdf,93,est,100,"est,","entis. At Christus nullum unquam verbum locutus est, quod non idem ab Spiritu Sancto extiterit. Erat"
PDF/Cano2.pdf,94,est,100,"est,","tertium. Ad illud vero quod tertio loco obiectum est, brevis et non difficilis est responsio. Non enim"
PDF/Cano2.pdf,95,sacrament,100,Sacramento.,"fuerit, etc., et altera similis de poenitentiae Sacramento. Praecepta rursum apostolorum, quae in Sacris Li"
PDF/Cano2.pdf,95,est,100,est.,"brevis et temporalis, sed perpetua et sempiterna est. Sempiternum autem Scripturae more voco quod sempe"
PDF/Cano2.pdf,96,est,100,est;,Summo Pontifici permissum in Ecclesia est; nam episcopis contra Apostolum dispensare cum bi
PDF/Cano2.pdf,97,est,100,est,"periantur. Non enim, si Aristotelem refero, opus est se quentia verba omnia Ar istotelis esse; quin l"
PDF/Cano2.pdf,98,est,100,"est,","tertia dicebatur, circa finem Christus crucifixus est, hora scilicet illa nondum elapsa. Aliquanto vero"
PDF/Cano2.pdf,99,est,100,est,"is tamen horum commentariorum est auctor, in Psalm. 77 aperte docet. Sed quisquis"
